symbol,neutrons,protons,instability,abundance
Nn,1,0,0.5412359275018637,0.0
H,0,1,0.0,99.9855
H,1,1,0.0,0.0145
H,2,1,0.0,0.0
He,1,2,0.0,0.0002
He,2,2,0.0,99.9998
He,4,2,0.9991936252949674,0.0
He,6,2,0.9998809070921234,0.0
Li,3,3,0.0,4.85
Li,4,3,0.0,95.15
Li,5,3,0.999160452617277,0.0
Li,6,3,0.9998217158945003,0.0
Li,8,3,0.9999912500382812,0.0
Be,3,4,0.0,0.0
Be,5,4,0.0,100.0
Be,6,4,0.0,0.0
Be,7,4,0.9863342360753664,0.0
Be,8,4,0.9999785402302641,0.0
Be,10,4,0.9999956500094612,0.0
B,3,5,0.9992302963739258,0.0
B,5,5,0.0,19.65
B,6,5,0.0,80.35
B,7,5,0.9999798002040187,0.0
B,8,5,0.9999826701501636,0.0
B,9,5,0.9999875000781246,0.0
B,10,5,0.9999900700493023,0.0
B,12,5,0.9999949200129031,0.0
B,14,5,0.9999970800042632,0.0
C,3,6,0.9998735080007877,0.0
C,4,6,0.9808948614823597,0.0
C,5,6,0.2946874428761186,0.0
C,6,6,0.0,98.94
C,7,6,0.0,1.06
C,8,6,0.0,0.0
C,9,6,0.9975539963539772,0.0
C,10,6,0.9992532789350409,0.0
C,11,6,0.9998070186233019,0.0
C,12,6,0.9999080042318702,0.0
C,13,6,0.9999537010718285,0.0
C,14,6,0.9999837001328443,0.0
C,16,6,0.999993900018605,0.0
N,5,7,0.9999890000604997,0.0
N,6,7,0.5499653515070172,0.0
N,7,7,0.0,99.6205
N,8,7,0.0,0.3795
N,9,7,0.9928953581463468,0.0
N,10,7,0.9958356948657371,0.0
N,11,7,0.9993811915409767,0.0
N,12,7,0.9996640564416783,0.0
N,13,7,0.9998656090312754,0.0
N,14,7,0.9999160035279012,0.0
N,15,7,0.999977000264498,0.0
N,16,7,0.9999859000994046,0.0
O,5,8,0.9999914200368081,0.0
O,6,8,0.9318289604207957,0.0
O,7,8,0.8849359583844202,0.0
O,8,8,0.0,99.757
O,9,8,0.0,0.03835
O,10,8,0.0,0.2045
O,11,8,0.973478051881801,0.0
O,12,8,0.9865808504598989,0.0
O,13,8,0.9965858415387483,0.0
O,14,8,0.9977525293526299,0.0
O,15,8,0.9999030047043479,0.0
O,16,8,0.9999350021124542,0.0
F,8,9,0.9375454896700693,0.0
F,9,9,0.00137927124862951,0.0
F,10,9,0.0,100.0
F,11,9,0.9889910469789955,0.0
F,12,9,0.9958506325131921,0.0
F,13,9,0.9957789338488341,0.0
F,14,9,0.9977724846027688,0.0
F,15,9,0.9996100760401144,0.0
F,16,9,0.9999200031999147,0.0
